T4 - T | 43 | Переход завершил работу | Маркер #21
T2 - T | 43 | Переход завершил работу | Маркер #21
T1 - F | 43 | Маркер иниц. срабатывание перехода | Маркер #22
T5 - J | 43 | Маркер иниц. срабатывание перехода | Маркер #21
T5 - J | 44 | Переход завершил работу | Маркер #21
T1 - F | 44 | Переход завершил работу | Маркер #22
T2 - T | 44 | Маркер иниц. срабатывание перехода | Маркер #22
T4 - T | 44 | Маркер иниц. срабатывание перехода | Маркер #22
T4 - T | 45 | Переход завершил работу | Маркер #22
T2 - T | 45 | Переход завершил работу | Маркер #22
T1 - F | 45 | Маркер иниц. срабатывание перехода | Маркер #23
T5 - J | 45 | Маркер иниц. срабатывание перехода | Маркер #22
T5 - J | 46 | Переход завершил работу | Маркер #22
T1 - F | 46 | Переход завершил работу | Маркер #23
T2 - T | 46 | Маркер иниц. срабатывание перехода | Маркер #23
T4 - T | 46 | Маркер иниц. срабатывание перехода | Маркер #23
T4 - T | 47 | Переход завершил работу | Маркер #23
T2 - T | 47 | Переход завершил работу | Маркер #23
T1 - F | 47 | Маркер иниц. срабатывание перехода | Маркер #24
T5 - J | 47 | Маркер иниц. срабатывание перехода | Маркер #23
T5 - J | 48 | Переход завершил работу | Маркер #23
T1 - F | 48 | Переход завершил работу | Маркер #24
T2 - T | 48 | Маркер иниц. срабатывание перехода | Маркер #24
T4 - T | 48 | Маркер иниц. срабатывание перехода | Маркер #24
T4 - T | 49 | Переход завершил работу | Маркер #24
T2 - T | 49 | Переход завершил работу | Маркер #24
T1 - F | 49 | Маркер иниц. срабатывание перехода | Маркер #25
T5 - J | 49 | Маркер иниц. срабатывание перехода | Маркер #24
T5 - J | 50 | Переход завершил работу | Маркер #24
T1 - F | 50 | Переход завершил работу | Маркер #25
T2 - T | 50 | Маркер иниц. срабатывание перехода | Маркер #25
T4 - T | 50 | Маркер иниц. срабатывание перехода | Маркер #25
T4 - T | 51 | Переход завершил работу | Маркер #25
T2 - T | 51 | Переход завершил работу | Маркер #25
T1 - F | 51 | Маркер иниц. срабатывание перехода | Маркер #26
T5 - J | 51 | Маркер иниц. срабатывание перехода | Маркер #25
T5 - J | 52 | Переход завершил работу | Маркер #25
T1 - F | 52 | Переход завершил работу | Маркер #26
T2 - T | 52 | Маркер иниц. срабатывание перехода | Маркер #26
T4 - T | 52 | Маркер иниц. срабатывание перехода | Маркер #26
T4 - T | 53 | Переход завершил работу | Маркер #26
T2 - T | 53 | Переход завершил работу | Маркер #26
T1 - F | 53 | Маркер иниц. срабатывание перехода | Маркер #27
T5 - J | 53 | Маркер иниц. срабатывание перехода | Маркер #26
T5 - J | 54 | Переход завершил работу | Маркер #26
