P5 | 43 | Позиция маркирована | Маркер #21
Q6 | 43 | Маркер уничтожен из конечной очереди | 
Q6 | 44 | Позиция маркирована | Маркер #21
P6 | 44 | Маркер покинул позицию | Маркер #21
P5 | 44 | Маркер покинул позицию | Маркер #21
Q2 | 44 | Позиция маркирована | Маркер #22
Q5 | 44 | Позиция маркирована | Маркер #22
Q6 | 44 | Маркер уничтожен из конечной очереди | 
P6 | 45 | Позиция маркирована | Маркер #22
P5 | 45 | Позиция маркирована | Маркер #22
Q6 | 45 | Маркер уничтожен из конечной очереди | 
Q6 | 46 | Позиция маркирована | Маркер #22
P6 | 46 | Маркер покинул позицию | Маркер #22
P5 | 46 | Маркер покинул позицию | Маркер #22
Q2 | 46 | Позиция маркирована | Маркер #23
Q5 | 46 | Позиция маркирована | Маркер #23
Q6 | 46 | Маркер уничтожен из конечной очереди | 
P6 | 47 | Позиция маркирована | Маркер #23
P5 | 47 | Позиция маркирована | Маркер #23
Q6 | 47 | Маркер уничтожен из конечной очереди | 
Q6 | 48 | Позиция маркирована | Маркер #23
P6 | 48 | Маркер покинул позицию | Маркер #23
P5 | 48 | Маркер покинул позицию | Маркер #23
Q2 | 48 | Позиция маркирована | Маркер #24
Q5 | 48 | Позиция маркирована | Маркер #24
Q6 | 48 | Маркер уничтожен из конечной очереди | 
P6 | 49 | Позиция маркирована | Маркер #24
P5 | 49 | Позиция маркирована | Маркер #24
Q6 | 49 | Маркер уничтожен из конечной очереди | 
Q6 | 50 | Позиция маркирована | Маркер #24
P6 | 50 | Маркер покинул позицию | Маркер #24
P5 | 50 | Маркер покинул позицию | Маркер #24
Q2 | 50 | Позиция маркирована | Маркер #25
Q5 | 50 | Позиция маркирована | Маркер #25
Q6 | 50 | Маркер уничтожен из конечной очереди | 
P6 | 51 | Позиция маркирована | Маркер #25
P5 | 51 | Позиция маркирована | Маркер #25
Q6 | 51 | Маркер уничтожен из конечной очереди | 
Q6 | 52 | Позиция маркирована | Маркер #25
P6 | 52 | Маркер покинул позицию | Маркер #25
P5 | 52 | Маркер покинул позицию | Маркер #25
Q2 | 52 | Позиция маркирована | Маркер #26
Q5 | 52 | Позиция маркирована | Маркер #26
Q6 | 52 | Маркер уничтожен из конечной очереди | 
P6 | 53 | Позиция маркирована | Маркер #26
P5 | 53 | Позиция маркирована | Маркер #26
Q6 | 53 | Маркер уничтожен из конечной очереди | 
Q6 | 54 | Позиция маркирована | Маркер #26
P6 | 54 | Маркер покинул позицию | Маркер #26
P5 | 54 | Маркер покинул позицию | Маркер #26
Q2 | 54 | Позиция маркирована | Маркер #27
Q5 | 54 | Позиция маркирована | Маркер #27
Q6 | 54 | Маркер уничтожен из конечной очереди | 
P6 | 55 | Позиция маркирована | Маркер #27
P5 | 55 | Позиция маркирована | Маркер #27
Q6 | 55 | Маркер уничтожен из конечной очереди | 
Q6 | 56 | Позиция маркирована | Маркер #27
P6 | 56 | Маркер покинул позицию | Маркер #27
P5 | 56 | Маркер покинул позицию | Маркер #27
Q2 | 56 | Позиция маркирована | Маркер #28
Q5 | 56 | Позиция маркирована | Маркер #28
Q6 | 56 | Маркер уничтожен из конечной очереди | 
P6 | 57 | Позиция маркирована | Маркер #28
P5 | 57 | Позиция маркирована | Маркер #28
Q6 | 57 | Маркер уничтожен из конечной очереди | 
Q6 | 58 | Позиция маркирована | Маркер #28
P6 | 58 | Маркер покинул позицию | Маркер #28
P5 | 58 | Маркер покинул позицию | Маркер #28
Q2 | 58 | Позиция маркирована | Маркер #29
Q5 | 58 | Позиция маркирована | Маркер #29
Q6 | 58 | Маркер уничтожен из конечной очереди | 
P6 | 59 | Позиция маркирована | Маркер #29
P5 | 59 | Позиция маркирована | Маркер #29
Q6 | 59 | Маркер уничтожен из конечной очереди | 
Q6 | 60 | Позиция маркирована | Маркер #29
P6 | 60 | Маркер покинул позицию | Маркер #29
P5 | 60 | Маркер покинул позицию | Маркер #29
Q2 | 60 | Позиция маркирована | Маркер #30
Q5 | 60 | Позиция маркирована | Маркер #30
Q6 | 60 | Маркер уничтожен из конечной очереди | 
P6 | 61 | Позиция маркирована | Маркер #30
P5 | 61 | Позиция маркирована | Маркер #30
Q6 | 61 | Маркер уничтожен из конечной очереди | 
Q6 | 62 | Позиция маркирована | Маркер #30
P6 | 62 | Маркер покинул позицию | Маркер #30
P5 | 62 | Маркер покинул позицию | Маркер #30
Q2 | 62 | Позиция маркирована | Маркер #31
Q5 | 62 | Позиция маркирована | Маркер #31
Q6 | 62 | Маркер уничтожен из конечной очереди | 
P6 | 63 | Позиция маркирована | Маркер #31
P5 | 63 | Позиция маркирована | Маркер #31
Q6 | 63 | Маркер уничтожен из конечной очереди | 
Q6 | 64 | Позиция маркирована | Маркер #31
P6 | 64 | Маркер покинул позицию | Маркер #31
P5 | 64 | Маркер покинул позицию | Маркер #31
